"time","ta","tb","tcl","tcr","tsk","scr","ssk","m","hfcs","eres","cres","dry","esk"
2460,20,35.83319380380489,27.28964539748159,36.81986257801199,31.70421656220918,-0.5263448033316749,-11.29423121082498,58.2,52.86912294910418,4.716501854227497,1.14072,56.96220857713016,7.201145582799
2520,20,35.82077501803882,27.27365414883381,36.81957318003805,31.67833202778135,-0.5203362826126821,-11.15851402505803,58.2,52.86311442838519,4.716501854227497,1.14072,56.83455327674244,7.187075176700778
2580,20,35.80845567022791,27.25796678385989,36.81928658854427,31.65294028452742,-0.5142129435086744,-11.0256344357964,58.2,52.85699108928118,4.716501854227497,1.14072,56.70933549248424,7.173290032593335
2640,20,35.7962351296712,27.24257369884122,36.81900290023187,31.62802573646462,-0.5080182867510885,-10.8954621512391,58.2,52.85079643252359,4.716501854227497,1.14072,56.58647790481803,7.159780678944666
2700,20,35.78411257781141,27.22746641298007,36.81872214201141,31.60357460815131,-0.5017667402990753,-10.76790600137328,58.2,52.84454488607158,4.716501854227497,1.14072,56.46591219575777,7.146538691687085
2760,20,35.77208730830277,27.21263628788772,36.81844437169327,31.57957287187904,-0.4954883959228624,-10.64285784967897,58.2,52.83826654169537,4.716501854227497,1.14072,56.34756882569442,7.133555565679911
2820,20,35.7601586208722,27.1980749834766,36.81816964138805,31.55600698542661,-0.4892124512472975,-10.52021318532183,58.2,52.8319905970198,4.716501854227497,1.14072,56.23138067032266,7.120823112018971
2880,20,35.74832562678442,27.18377503705561,36.81789794857423,31.53286482905323,-0.482945403229067,-10.39989804978231,58.2,52.82572354900157,4.716501854227497,1.14072,56.11728763867897,7.108333960104915
2940,20,35.73658747288495,27.16972897756404,36.81762930545435,31.5101342717924,-0.4767018560396608,-10.28183038036198,58.2,52.81948000181217,4.716501854227497,1.14072,56.00522960294656,7.096080779227588
3000,20,35.72494326569199,27.15592972858429,36.8173637097273,31.48780382354324,-0.4704910675412677,-10.16593702710993,58.2,52.81326921331377,4.716501854227497,1.14072,55.8951496123735,7.084056628050198
3060,20,35.71339206763252,27.14237062208177,36.81710114372574,31.46586265713812,-0.4643163693757018,-10.05215444875208,58.2,52.80709451514821,4.716501854227497,1.14072,55.78699400072705,7.072254963173242
3120,20,35.70193291226863,27.12904525624782,36.81684158341347,31.44430037815432,-0.4581792029600393,-9.940423413979143,58.2,52.80095734873255,4.716501854227497,1.14072,55.68071125040652,7.060669512305172
3180,20,35.69056480234288,27.11594752203116,36.81658499671209,31.42310706772248,-0.4520781877159479,-9.830690163782613,58.2,52.79485633348845,4.716501854227497,1.14072,55.57625220246857,7.049294294802493
3240,20,35.67928675286164,27.10307152504789,36.81633135102229,31.40227315605271,-0.4460122204095569,-9.722902617589572,58.2,52.78879036618206,4.716501854227497,1.14072,55.47356943232028,7.03812355145136
3300,20,35.66809846381934,27.09041056183223,36.81608071974025,31.38178776593633,-0.4400256387725321,-9.616956156311478,58.2,52.78280378454504,4.716501854227497,1.14072,55.37260908521412,7.027150855642399
3360,20,35.65699887045251,27.07795936473893,36.81583304658418,31.36164234497177,-0.4341079627124813,-9.51281372720749,58.2,52.77688610848499,4.716501854227497,1.14072,55.27332877719795,7.016371058494531
3420,20,35.64598727673927,27.06571232876351,36.8155883305728,31.34182779639508,-0.428272459234833,-9.410411596982728,58.2,52.77105060500734,4.716501854227497,1.14072,55.17568345331064,7.005778748679427
3480,20,35.6350630841895,27.05366394226972,36.81534658027397,31.3223351759617,-0.4225366193437026,-9.309682681695328,58.2,52.76531476511621,4.716501854227497,1.14072,55.07962882183198,6.995368624979556
3540,20,35.62422563356029,27.04180895119696,36.81510779266237,31.30315595753921,-0.4169133401768121,-9.210566813217085,58.2,52.75969148594932,4.716501854227497,1.14072,54.98512266248058,6.985135636685817
3600,20,35.61347268345258,27.03014394059494,36.81487175930877,31.28428459154741,-0.4113304861028908,-9.113105144641573,58.2,52.7541086318754,4.716501854227497,1.14072,54.89213743164465,6.975076344872321
3600,20,35.61347268345258,27.03014394059494,36.81487175930877,31.28428459154741,-0.4113304861028908,-9.113105144641573,58.2,52.7541086318754,4.716501854227497,1.14072,54.89213743164465,6.975076344872321
